"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.01",128
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.025",137
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.05",143
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.1",152
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.15",159
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.2",163
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.25",166
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.3",169
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.35",171
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.4",174
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.45",176
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.5",179
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.55",182
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.6",184
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.65",187
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.7",190
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.75",192
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.8",195
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.85",200
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.9",208
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.95",219
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.975",227
"Regular Baseline","2026-07-11",-2,"2026-06-27","Adults","quantile","0.99",238
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.01",113
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.025",123
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.05",131
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.1",142
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.15",149
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.2",155
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.25",160
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.3",164
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.35",168
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.4",172
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.45",175
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.5",179
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.55",182
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.6",186
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.65",190
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.7",195
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.75",200
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.8",205
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.85",212
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.9",220
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.95",234
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.975",247
"Regular Baseline","2026-07-11",-1,"2026-07-04","Adults","quantile","0.99",263
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.01",99
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.025",111
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.05",121
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.1",133
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.15",142
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.2",149
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.25",154
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.3",160
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.35",165
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.4",170
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.45",174
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.5",179
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.55",183
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.6",188
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.65",193
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.7",198
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.75",204
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.8",211
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.85",219
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.9",230
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.95",247
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.975",261
"Regular Baseline","2026-07-11",0,"2026-07-11","Adults","quantile","0.99",281
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.01",91
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.025",102
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.05",114
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.1",128
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.15",137
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.2",145
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.25",151
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.3",157
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.35",163
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.4",168
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.45",174
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.5",179
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.55",184
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.6",190
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.65",195
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.7",202
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.75",208
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.8",216
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.85",226
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.9",238
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.95",259
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.975",278
"Regular Baseline","2026-07-11",1,"2026-07-18","Adults","quantile","0.99",301
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.01",84
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.025",97
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.05",108
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.1",123
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.15",133
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.2",142
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.25",149
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.3",155
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.35",161
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.4",167
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.45",173
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.5",179
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.55",185
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.6",191
"Regular Baseline","2026-07-11",2,"2026-07-25","Adults","quantile","0.65",198
