"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.01",93
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.025",101
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.05",107
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.1",115
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.15",121
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.2",124
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.25",127
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.3",129
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.35",131
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.4",134
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.45",136
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.5",138
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.55",140
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.6",142
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.65",145
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.7",148
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.75",150
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.8",153
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.85",157
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.9",164
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.95",173
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.975",181
"Regular Baseline","2026-06-06",-2,"2026-05-23","Adults","quantile","0.99",191
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.01",80
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.025",89
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.05",96
"Regular Baseline","2026-06-06",-1,"2026-05-30","Adults","quantile","0.1",106
