date,target,target_group,value
2022-01-08,SARI,Adults,102
2022-01-08,SARI,Overall,131
2022-01-08,SARI,Pediatrics,29
2022-01-15,SARI,Adults,134
2022-01-15,SARI,Overall,177
2022-01-15,SARI,Pediatrics,43
2022-01-22,SARI,Adults,148
2022-01-22,SARI,Overall,182
2022-01-22,SARI,Pediatrics,34
2022-01-29,SARI,Adults,184
2022-01-29,SARI,Overall,210
2022-01-29,SARI,Pediatrics,26
2022-02-05,SARI,Adults,198
2022-02-05,SARI,Overall,234
2022-02-05,SARI,Pediatrics,36
2022-02-12,SARI,Adults,190
2022-02-12,SARI,Overall,209
2022-02-12,SARI,Pediatrics,19
2022-02-19,SARI,Adults,192
2022-02-19,SARI,Overall,219
2022-02-19,SARI,Pediatrics,27
2022-02-26,SARI,Adults,162
2022-02-26,SARI,Overall,181
2022-02-26,SARI,Pediatrics,19
2022-03-05,SARI,Adults,124
2022-03-05,SARI,Overall,140
2022-03-05,SARI,Pediatrics,16
2022-03-12,SARI,Adults,96
2022-03-12,SARI,Overall,122
2022-03-12,SARI,Pediatrics,26
2022-03-19,SARI,Adults,101
2022-03-19,SARI,Overall,140
2022-03-19,SARI,Pediatrics,39
2022-03-26,SARI,Adults,79
2022-03-26,SARI,Overall,118
2022-03-26,SARI,Pediatrics,39
2022-04-02,SARI,Adults,71
2022-04-02,SARI,Overall,121
2022-04-02,SARI,Pediatrics,50
2022-04-09,SARI,Adults,62
2022-04-09,SARI,Overall,103
2022-04-09,SARI,Pediatrics,41
2022-04-16,SARI,Adults,64
2022-04-16,SARI,Overall,117
2022-04-16,SARI,Pediatrics,53
2022-04-23,SARI,Adults,69
2022-04-23,SARI,Overall,143
2022-04-23,SARI,Pediatrics,74
2022-04-30,SARI,Adults,78
2022-04-30,SARI,Overall,174
2022-04-30,SARI,Pediatrics,96
2022-05-07,SARI,Adults,103
2022-05-07,SARI,Overall,222
2022-05-07,SARI,Pediatrics,119
2022-05-14,SARI,Adults,97
2022-05-14,SARI,Overall,213
2022-05-14,SARI,Pediatrics,116
2022-05-21,SARI,Adults,109
2022-05-21,SARI,Overall,239
2022-05-21,SARI,Pediatrics,130
2022-05-28,SARI,Adults,112
2022-05-28,SARI,Overall,231
2022-05-28,SARI,Pediatrics,119
2022-06-04,SARI,Adults,124
2022-06-04,SARI,Overall,266
2022-06-04,SARI,Pediatrics,142
2022-06-11,SARI,Adults,98
2022-06-11,SARI,Overall,256
2022-06-11,SARI,Pediatrics,158
2022-06-18,SARI,Adults,103
2022-06-18,SARI,Overall,257
2022-06-18,SARI,Pediatrics,154
2022-06-25,SARI,Adults,112
2022-06-25,SARI,Overall,266
2022-06-25,SARI,Pediatrics,154
