date,target_group,value
2022-01-08,Adults,102
2022-01-08,Overall,131
2022-01-08,Pediatrics,29
2022-01-15,Adults,134
2022-01-15,Overall,177
2022-01-15,Pediatrics,43
2022-01-22,Adults,148
2022-01-22,Overall,182
2022-01-22,Pediatrics,34
2022-01-29,Adults,184
2022-01-29,Overall,210
2022-01-29,Pediatrics,26
2022-02-05,Adults,198
2022-02-05,Overall,234
2022-02-05,Pediatrics,36
2022-02-12,Adults,190
2022-02-12,Overall,209
2022-02-12,Pediatrics,19
2022-02-19,Adults,192
2022-02-19,Overall,219
2022-02-19,Pediatrics,27
2022-02-26,Adults,162
2022-02-26,Overall,181
2022-02-26,Pediatrics,19
2022-03-05,Adults,124
2022-03-05,Overall,140
2022-03-05,Pediatrics,16
2022-03-12,Adults,96
2022-03-12,Overall,122
2022-03-12,Pediatrics,26
2022-03-19,Adults,101
2022-03-19,Overall,140
2022-03-19,Pediatrics,39
2022-03-26,Adults,79
2022-03-26,Overall,118
2022-03-26,Pediatrics,39
2022-04-02,Adults,71
2022-04-02,Overall,121
2022-04-02,Pediatrics,50
2022-04-09,Adults,62
2022-04-09,Overall,103
2022-04-09,Pediatrics,41
2022-04-16,Adults,64
2022-04-16,Overall,117
2022-04-16,Pediatrics,53
2022-04-23,Adults,69
2022-04-23,Overall,143
2022-04-23,Pediatrics,74
2022-04-30,Adults,78
2022-04-30,Overall,174
2022-04-30,Pediatrics,96
2022-05-07,Adults,103
2022-05-07,Overall,222
2022-05-07,Pediatrics,119
2022-05-14,Adults,97
2022-05-14,Overall,213
2022-05-14,Pediatrics,116
2022-05-21,Adults,109
2022-05-21,Overall,239
2022-05-21,Pediatrics,130
2022-05-28,Adults,112
2022-05-28,Overall,231
2022-05-28,Pediatrics,119
2022-06-04,Adults,124
2022-06-04,Overall,266
2022-06-04,Pediatrics,142
2022-06-11,Adults,98
2022-06-11,Overall,256
2022-06-11,Pediatrics,158
2022-06-18,Adults,103
2022-06-18,Overall,257
2022-06-18,Pediatrics,154
2022-06-25,Adults,112
2022-06-25,Overall,266
2022-06-25,Pediatrics,154
2022-07-02,Adults,123
2022-07-02,Overall,239
2022-07-02,Pediatrics,116
2022-07-09,Adults,110
2022-07-09,Overall,209
2022-07-09,Pediatrics,99
2022-07-16,Adults,123
2022-07-16,Overall,201
2022-07-16,Pediatrics,78
2022-07-23,Adults,102
