"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.01",95
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.025",103
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.05",109
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.1",116
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.15",123
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.2",126
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.25",129
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.3",131
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.35",133
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.4",136
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.45",138
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.5",140
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.55",142
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.6",144
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.65",147
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.7",150
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.75",152
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.8",155
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.85",159
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.9",166
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.95",175
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.975",183
"Regular Baseline","2026-06-13",-2,"2026-05-30","Adults","quantile","0.99",194
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.01",81
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.025",91
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.05",99
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.1",108
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.15",113
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.2",118
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.25",123
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.3",127
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.35",130
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.4",133
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.45",137
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.5",140
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.55",143
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.6",147
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.65",150
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.7",154
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.75",158
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.8",163
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.85",168
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.9",176
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.95",189
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.975",200
"Regular Baseline","2026-06-13",-1,"2026-06-06","Adults","quantile","0.99",217
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.01",72
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.025",81
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.05",90
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.1",102
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.15",108
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.2",114
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.25",119
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.3",124
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.35",128
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.4",132
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.45",136
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.5",140
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.55",144
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.6",148
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.65",153
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.7",158
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.75",163
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.8",169
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.85",176
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.9",186
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.95",201
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.975",214
"Regular Baseline","2026-06-13",0,"2026-06-13","Adults","quantile","0.99",232
"Regular Baseline","2026-06-13",1,"2026-06-20","Adults","quantile","0.01",64
"Regular Baseline","2026-06-13",1,"2026-06-20","Adults","quantile","0.025",74
"Regular Baseline","2026-06-13",1,"2026-06-20","Adults","quantile","0.05",83
"Regular Baseline","2026-06-13",1,"2026-06-20","Adults","quantile","0.1",95
"Regular Baseline","2026-06-13",1,"2026-06-20","Adults","quantile","0.15",103
"Regular Baseline","2026-06-13",1,"2026-06-20","Adults","quantile","0.2",110
