"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.01,87
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.025,93
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.05,97
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.1,101
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.15,104
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.2,107
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.25,109
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.3,112
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.35,114
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.4,116
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.45,117
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.5,119
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.55,121
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.6,124
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.65,125
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.7,127
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.75,130
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.8,132
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.85,136
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.9,139
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.95,145
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.975,148
2026-06-13,"SARI",-5,2026-05-09,"Adults","quantile",0.99,154
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.01,92
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.025,97
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.05,102
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.1,109
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.15,113
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.2,117
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.25,120
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.3,123
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.35,126
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.4,129
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.45,132
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.5,134
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.55,137
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.6,141
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.65,144
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.7,148
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.75,151
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.8,155
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.85,160
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.9,167
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.95,177
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.975,193
2026-06-13,"SARI",-4,2026-05-16,"Adults","quantile",0.99,201
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.01,93
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.025,100
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.05,108
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.1,117
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.15,122
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.2,128
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.25,132
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.3,136
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.35,141
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.4,144
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.45,149
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.5,152
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.55,157
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.6,161
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.65,165
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.7,171
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.75,176
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.8,183
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.85,192
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.9,201
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.95,219
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.975,234
2026-06-13,"SARI",-3,2026-05-23,"Adults","quantile",0.99,245
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.01,100
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.025,108
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.05,114
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.1,125
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.15,131
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.2,136
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.25,142
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.3,148
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.35,153
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.4,159
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.45,164
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.5,170
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.55,176
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.6,182
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.65,190
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.7,197
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.75,206
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.8,217
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.85,229
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.9,245
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.95,267
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.975,279
2026-06-13,"SARI",-2,2026-05-30,"Adults","quantile",0.99,297
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.01,100
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.025,108
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.05,120
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.1,132
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.15,141
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.2,148
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.25,155
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.3,162
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.35,168
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.4,174
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.45,178
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.5,186
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.55,191
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.6,200
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.65,211
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.7,222
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.75,234
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.8,248
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.85,265
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.9,292
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.95,317
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.975,341
2026-06-13,"SARI",-1,2026-06-06,"Adults","quantile",0.99,367
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.01,96
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.025,106
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.05,118
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.1,135
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.15,144
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.2,154
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.25,162
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.3,171
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.35,178
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.4,185
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.45,193
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.5,202
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.55,209
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.6,220
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.65,232
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.7,245
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.75,258
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.8,278
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.85,299
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.9,333
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.95,374
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.975,418
2026-06-13,"SARI",0,2026-06-13,"Adults","quantile",0.99,447
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.01,90
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.025,102
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.05,117
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.1,134
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.15,144
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.2,155
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.25,163
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.3,172
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.35,181
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.4,192
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.45,201
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.5,214
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.55,224
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.6,235
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.65,246
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.7,260
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.75,276
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.8,296
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.85,322
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.9,358
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.95,418
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.975,452
2026-06-13,"SARI",1,2026-06-20,"Adults","quantile",0.99,513
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.01,77
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.025,95
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.05,109
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.1,125
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.15,141
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.2,152
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.25,162
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.3,170
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.35,181
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.4,192
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.45,203
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.5,217
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.55,230
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.6,245
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.65,258
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.7,271
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.75,290
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.8,313
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.85,343
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.9,386
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.95,452
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.975,507
2026-06-13,"SARI",2,2026-06-27,"Adults","quantile",0.99,570
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.01,66
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.025,88
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.05,103
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.1,119
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.15,131
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.2,143
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.25,154
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.3,164
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.35,176
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.4,186
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.45,199
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.5,215
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.55,230
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.6,242
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.65,254
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.7,274
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.75,294
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.8,316
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.85,346
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.9,397
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.95,467
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.975,530
2026-06-13,"SARI",3,2026-07-04,"Adults","quantile",0.99,625
2026-06-13,"SARI",-5,2026-05-09,"Overall","quantile",0.01,258
2026-06-13,"SARI",-5,2026-05-09,"Overall","quantile",0.025,271
