"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.01,40
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.025,49
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.05,59
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.1,69
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.15,72
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.2,78
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.25,83
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.3,85
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.35,89
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.4,92
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.45,94
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.5,97
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.55,100
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.6,102
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.65,106
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.7,109
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.75,112
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.8,118
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.85,125
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.9,130
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.95,145
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.975,162
"5/16/2026","SARI",-3,"4/25/2026","Adults","quantile",0.99,179
"5/16/2026","SARI",-2,"5/2/2026","Adults","quantile",0.01,26
"5/16/2026","SARI",-2,"5/2/2026","Adults","quantile",0.025,36
"5/16/2026","SARI",-2,"5/2/2026","Adults","quantile",0.05,45
"5/16/2026","SARI",-2,"5/2/2026","Adults","quantile",0.1,56
