"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.01,50
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.025,61
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.05,73
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.1,89
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.15,102
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.2,114
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.25,125
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.3,136
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.35,147
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.4,157
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.45,169
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.5,181
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.55,193
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.6,208
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.65,224
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.7,242
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.75,263
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.8,289
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.85,322
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.9,369
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.95,456
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.975,540
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.99,656
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.01,58
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.025,70
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.05,83
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.1,102
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.15,116
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.2,130
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.25,142
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.3,154
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.35,165
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.4,177
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.45,190
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.5,204
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.55,218
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.6,235
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.65,253
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.7,273
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.75,296
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.8,325
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.85,361
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.9,415
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.95,506
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.975,608
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.99,742
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.01,65
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.025,80
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.05,95
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.1,115
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.15,131
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.2,146
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.25,160
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.3,175
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.35,189
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.4,204
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.45,218
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.5,233
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.55,249
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.6,269
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.65,288
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.7,311
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.75,337
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.8,373
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.85,413
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.9,472
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.95,582
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.975,686
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.99,826
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.01,74
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.025,90
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.05,107
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.1,130
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.15,148
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.2,164
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.25,182
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.3,197
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.35,212
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.4,229
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.45,245
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.5,262
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.55,281
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.6,299
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.65,324
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.7,349
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.75,380
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.8,419
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.85,465
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.9,529
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.95,645
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.975,775
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.99,955
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.01,82
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.025,100
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.05,118
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.1,146
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.15,166
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.2,184
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.25,203
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.3,219
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.35,235
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.4,252
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.45,270
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.5,291
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.55,312
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.6,334
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.65,360
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.7,389
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.75,424
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.8,466
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.85,525
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.9,605
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.95,733
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.975,873
2026-05-23,"SARI",2,2026-06-06,"Adults","quantile",0.99,1058
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.01,87
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.025,108
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.05,129
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.1,155
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.15,179
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.2,199
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.25,216
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.3,235
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.35,254
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.4,275
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.45,295
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.5,315
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.55,338
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.6,363
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.65,392
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.7,420
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.75,459
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.8,503
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.85,558
2026-05-23,"SARI",3,2026-06-13,"Adults","quantile",0.9,639
