"reference_date","target","horizon","target_end_date","age_group","output_type","output_type_id","value"
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.01,34
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.025,68
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.05,90
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.1,108
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.15,119
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.2,124
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.25,127
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.3,131
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.35,133
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.4,134
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.45,137
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.5,138
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.55,138
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.6,139
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.65,139
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.7,140
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.75,140
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.8,141
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.85,149
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.9,169
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.95,214
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.975,273
2026-05-23,"SARI",-2,2026-05-09,"Adults","quantile",0.99,345
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.01,34
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.025,68
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.05,90
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.1,108
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.15,120
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.2,129
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.25,135
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.3,139
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.35,145
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.4,147
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.45,153
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.5,159
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.55,161
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.6,161
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.65,162
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.7,164
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.75,166
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.8,166
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.85,166
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.9,175
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.95,219
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.975,274
2026-05-23,"SARI",-1,2026-05-16,"Adults","quantile",0.99,347
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.01,34
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.025,67
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.05,90
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.1,108
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.15,122
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.2,133
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.25,142
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.3,152
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.35,157
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.4,165
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.45,174
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.5,181
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.55,193
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.6,199
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.65,208
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.7,214
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.75,220
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.8,222
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.85,233
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.9,244
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.95,244
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.975,296
2026-05-23,"SARI",0,2026-05-23,"Adults","quantile",0.99,353
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.01,34
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.025,67
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.05,90
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.1,109
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.15,124
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.2,135
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.25,147
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.3,159
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.35,170
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.4,180
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.45,188
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.5,197
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.55,209
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.6,224
2026-05-23,"SARI",1,2026-05-30,"Adults","quantile",0.65,249
