date,target,target_group,value
1/8/2022,SARI_NATIONAL,Adults,1023
1/8/2022,SARI_NATIONAL,Overall,1186
1/8/2022,SARI_NATIONAL,Pediatrics,163
1/15/2022,SARI_NATIONAL,Adults,1251
1/15/2022,SARI_NATIONAL,Overall,1423
1/15/2022,SARI_NATIONAL,Pediatrics,172
1/22/2022,SARI_NATIONAL,Adults,1113
1/22/2022,SARI_NATIONAL,Overall,1303
1/22/2022,SARI_NATIONAL,Pediatrics,190
1/29/2022,SARI_NATIONAL,Adults,769
1/29/2022,SARI_NATIONAL,Overall,907
1/29/2022,SARI_NATIONAL,Pediatrics,138
2/5/2022,SARI_NATIONAL,Adults,587
2/5/2022,SARI_NATIONAL,Overall,698
2/5/2022,SARI_NATIONAL,Pediatrics,111
2/12/2022,SARI_NATIONAL,Adults,420
2/12/2022,SARI_NATIONAL,Overall,537
2/12/2022,SARI_NATIONAL,Pediatrics,117
2/19/2022,SARI_NATIONAL,Adults,473
2/19/2022,SARI_NATIONAL,Overall,604
2/19/2022,SARI_NATIONAL,Pediatrics,131
2/26/2022,SARI_NATIONAL,Adults,430
2/26/2022,SARI_NATIONAL,Overall,551
2/26/2022,SARI_NATIONAL,Pediatrics,121
3/5/2022,SARI_NATIONAL,Adults,533
3/5/2022,SARI_NATIONAL,Overall,702
3/5/2022,SARI_NATIONAL,Pediatrics,169
3/12/2022,SARI_NATIONAL,Adults,502
3/12/2022,SARI_NATIONAL,Overall,730
3/12/2022,SARI_NATIONAL,Pediatrics,228
3/19/2022,SARI_NATIONAL,Adults,518
3/19/2022,SARI_NATIONAL,Overall,772
3/19/2022,SARI_NATIONAL,Pediatrics,254
3/26/2022,SARI_NATIONAL,Adults,437
3/26/2022,SARI_NATIONAL,Overall,633
3/26/2022,SARI_NATIONAL,Pediatrics,196
4/2/2022,SARI_NATIONAL,Adults,377
4/2/2022,SARI_NATIONAL,Overall,567
4/2/2022,SARI_NATIONAL,Pediatrics,190
4/9/2022,SARI_NATIONAL,Adults,349
4/9/2022,SARI_NATIONAL,Overall,573
4/9/2022,SARI_NATIONAL,Pediatrics,224
4/16/2022,SARI_NATIONAL,Adults,302
4/16/2022,SARI_NATIONAL,Overall,511
4/16/2022,SARI_NATIONAL,Pediatrics,209
4/23/2022,SARI_NATIONAL,Adults,271
4/23/2022,SARI_NATIONAL,Overall,496
4/23/2022,SARI_NATIONAL,Pediatrics,225
4/30/2022,SARI_NATIONAL,Adults,267
4/30/2022,SARI_NATIONAL,Overall,547
