target,age_group,horizon,target_end_date,output_type,output_type_id,oracle_value,as_of
SARI,Adults,0,2026-05-16,quantile,NA,245,2026-06-24
SARI,Adults,0,2026-05-23,quantile,NA,306,2026-06-24
SARI,Adults,0,2026-05-30,quantile,NA,320,2026-06-24
SARI,Adults,0,2026-06-06,quantile,NA,306,2026-06-24
SARI,Adults,0,2026-06-13,quantile,NA,102,2026-06-24
SARI,Adults,1,2026-05-16,quantile,NA,245,2026-06-24
SARI,Adults,1,2026-05-23,quantile,NA,306,2026-06-24
SARI,Adults,1,2026-05-30,quantile,NA,320,2026-06-24
SARI,Adults,1,2026-06-06,quantile,NA,306,2026-06-24
SARI,Adults,1,2026-06-13,quantile,NA,102,2026-06-24
SARI,Adults,2,2026-05-16,quantile,NA,245,2026-06-24
SARI,Adults,2,2026-05-23,quantile,NA,306,2026-06-24
SARI,Adults,2,2026-05-30,quantile,NA,320,2026-06-24
SARI,Adults,2,2026-06-06,quantile,NA,306,2026-06-24
SARI,Adults,2,2026-06-13,quantile,NA,102,2026-06-24
SARI,Adults,3,2026-05-16,quantile,NA,245,2026-06-24
SARI,Adults,3,2026-05-23,quantile,NA,306,2026-06-24
SARI,Adults,3,2026-05-30,quantile,NA,320,2026-06-24
SARI,Adults,3,2026-06-06,quantile,NA,306,2026-06-24
SARI,Adults,3,2026-06-13,quantile,NA,102,2026-06-24
SARI,Overall,0,2026-05-16,quantile,NA,566,2026-06-24
SARI,Overall,0,2026-05-23,quantile,NA,651,2026-06-24
SARI,Overall,0,2026-05-30,quantile,NA,725,2026-06-24
SARI,Overall,0,2026-06-06,quantile,NA,679,2026-06-24
SARI,Overall,0,2026-06-13,quantile,NA,228,2026-06-24
SARI,Overall,1,2026-05-16,quantile,NA,566,2026-06-24
SARI,Overall,1,2026-05-23,quantile,NA,651,2026-06-24
SARI,Overall,1,2026-05-30,quantile,NA,725,2026-06-24
SARI,Overall,1,2026-06-06,quantile,NA,679,2026-06-24
SARI,Overall,1,2026-06-13,quantile,NA,228,2026-06-24
SARI,Overall,2,2026-05-16,quantile,NA,566,2026-06-24
SARI,Overall,2,2026-05-23,quantile,NA,651,2026-06-24
SARI,Overall,2,2026-05-30,quantile,NA,725,2026-06-24
SARI,Overall,2,2026-06-06,quantile,NA,679,2026-06-24
SARI,Overall,2,2026-06-13,quantile,NA,228,2026-06-24
SARI,Overall,3,2026-05-16,quantile,NA,566,2026-06-24
SARI,Overall,3,2026-05-23,quantile,NA,651,2026-06-24
SARI,Overall,3,2026-05-30,quantile,NA,725,2026-06-24
SARI,Overall,3,2026-06-06,quantile,NA,679,2026-06-24
SARI,Overall,3,2026-06-13,quantile,NA,228,2026-06-24
SARI,Pediatrics,0,2026-05-16,quantile,NA,321,2026-06-24
SARI,Pediatrics,0,2026-05-23,quantile,NA,345,2026-06-24
SARI,Pediatrics,0,2026-05-30,quantile,NA,405,2026-06-24
SARI,Pediatrics,0,2026-06-06,quantile,NA,373,2026-06-24
SARI,Pediatrics,0,2026-06-13,quantile,NA,126,2026-06-24
SARI,Pediatrics,1,2026-05-16,quantile,NA,321,2026-06-24
SARI,Pediatrics,1,2026-05-23,quantile,NA,345,2026-06-24
SARI,Pediatrics,1,2026-05-30,quantile,NA,405,2026-06-24
SARI,Pediatrics,1,2026-06-06,quantile,NA,373,2026-06-24
SARI,Pediatrics,1,2026-06-13,quantile,NA,126,2026-06-24
SARI,Pediatrics,2,2026-05-16,quantile,NA,321,2026-06-24
SARI,Pediatrics,2,2026-05-23,quantile,NA,345,2026-06-24
SARI,Pediatrics,2,2026-05-30,quantile,NA,405,2026-06-24
SARI,Pediatrics,2,2026-06-06,quantile,NA,373,2026-06-24
SARI,Pediatrics,2,2026-06-13,quantile,NA,126,2026-06-24
SARI,Pediatrics,3,2026-05-16,quantile,NA,321,2026-06-24
SARI,Pediatrics,3,2026-05-23,quantile,NA,345,2026-06-24
SARI,Pediatrics,3,2026-05-30,quantile,NA,405,2026-06-24
SARI,Pediatrics,3,2026-06-06,quantile,NA,373,2026-06-24
SARI,Pediatrics,3,2026-06-13,quantile,NA,126,2026-06-24
