"as_of","target","target_end_date","age_group","observation"
"1/12/2026","SARI",1-04-20,"Adults",99
"1/12/2026","SARI",1-04-20,"Overall",197
"1/12/2026","SARI",1-04-20,"Pediatrics",98
"1/12/2026","SARI",1-06-20,"Adults",95
"1/12/2026","SARI",1-06-20,"Overall",160
"1/12/2026","SARI",1-06-20,"Pediatrics",65
"1/12/2026","SARI",1-07-20,"Adults",330
"1/12/2026","SARI",1-07-20,"Overall",448
"1/12/2026","SARI",1-07-20,"Pediatrics",118
"1/12/2026","SARI",1-08-20,"Adults",1023
"1/12/2026","SARI",1-08-20,"Overall",1186
"1/12/2026","SARI",1-08-20,"Pediatrics",163
"1/12/2026","SARI",1-11-20,"Adults",97
"1/12/2026","SARI",1-11-20,"Overall",174
"1/12/2026","SARI",1-11-20,"Pediatrics",77
"1/12/2026","SARI",2-01-20,"Adults",92
"1/12/2026","SARI",2-01-20,"Overall",153
"1/12/2026","SARI",2-01-20,"Pediatrics",61
"1/12/2026","SARI",2-03-20,"Adults",165
"1/12/2026","SARI",2-03-20,"Overall",252
"1/12/2026","SARI",2-03-20,"Pediatrics",87
"1/12/2026","SARI",2-04-20,"Adults",133
"1/12/2026","SARI",2-04-20,"Overall",254
"1/12/2026","SARI",2-04-20,"Pediatrics",121
"1/12/2026","SARI",2-05-20,"Adults",587
"1/12/2026","SARI",2-05-20,"Overall",698
"1/12/2026","SARI",2-05-20,"Pediatrics",111
"1/12/2026","SARI",2-08-20,"Adults",86
"1/12/2026","SARI",2-08-20,"Overall",171
"1/12/2026","SARI",2-08-20,"Pediatrics",85
"1/12/2026","SARI",2-10-20,"Adults",131
"1/12/2026","SARI",2-10-20,"Overall",205
"1/12/2026","SARI",2-10-20,"Pediatrics",74
"1/12/2026","SARI",2-11-20,"Adults",100
"1/12/2026","SARI",2-11-20,"Overall",222
"1/12/2026","SARI",2-11-20,"Pediatrics",122
"1/12/2026","SARI",2-12-20,"Adults",420
"1/12/2026","SARI",2-12-20,"Overall",537
"1/12/2026","SARI",2-12-20,"Pediatrics",117
"1/12/2026","SARI",3-01-20,"Adults",102
"1/12/2026","SARI",3-01-20,"Overall",175
"1/12/2026","SARI",3-01-20,"Pediatrics",73
"1/12/2026","SARI",3-02-20,"Adults",92
"1/12/2026","SARI",3-02-20,"Overall",155
"1/12/2026","SARI",3-02-20,"Pediatrics",63
"1/12/2026","SARI",3-04-20,"Adults",137
"1/12/2026","SARI",3-04-20,"Overall",289
"1/12/2026","SARI",3-04-20,"Pediatrics",152
"1/12/2026","SARI",3-05-20,"Adults",533
"1/12/2026","SARI",3-05-20,"Overall",702
"1/12/2026","SARI",3-05-20,"Pediatrics",169
"1/12/2026","SARI",3-08-20,"Adults",101
"1/12/2026","SARI",3-08-20,"Overall",181
"1/12/2026","SARI",3-08-20,"Pediatrics",80
"1/12/2026","SARI",3-09-20,"Adults",93
"1/12/2026","SARI",3-09-20,"Overall",164
"1/12/2026","SARI",3-09-20,"Pediatrics",71
"1/12/2026","SARI",3-11-20,"Adults",104
"1/12/2026","SARI",3-11-20,"Overall",300
"1/12/2026","SARI",3-11-20,"Pediatrics",196
"1/12/2026","SARI",3-12-20,"Adults",502
"1/12/2026","SARI",3-12-20,"Overall",730
"1/12/2026","SARI",3-12-20,"Pediatrics",228
"1/12/2026","SARI",4-01-20,"Adults",78
"1/12/2026","SARI",4-01-20,"Overall",251
"1/12/2026","SARI",4-01-20,"Pediatrics",173
"1/12/2026","SARI",4-02-20,"Adults",377
"1/12/2026","SARI",4-02-20,"Overall",567
"1/12/2026","SARI",4-02-20,"Pediatrics",190
"1/12/2026","SARI",4-05-20,"Adults",150
"1/12/2026","SARI",4-05-20,"Overall",291
"1/12/2026","SARI",4-05-20,"Pediatrics",141
"1/12/2026","SARI",4-06-20,"Adults",111
"1/12/2026","SARI",4-06-20,"Overall",223
"1/12/2026","SARI",4-06-20,"Pediatrics",112
"1/12/2026","SARI",4-08-20,"Adults",90
"1/12/2026","SARI",4-08-20,"Overall",275
"1/12/2026","SARI",4-08-20,"Pediatrics",185
"1/12/2026","SARI",4-09-20,"Adults",349
"1/12/2026","SARI",4-09-20,"Overall",573
"1/12/2026","SARI",4-09-20,"Pediatrics",224
"1/12/2026","SARI",4-12-20,"Adults",153
"1/12/2026","SARI",4-12-20,"Overall",307
"1/12/2026","SARI",4-12-20,"Pediatrics",154
"1/12/2026","SARI",5-03-20,"Adults",190
"1/12/2026","SARI",5-03-20,"Overall",402
"1/12/2026","SARI",5-03-20,"Pediatrics",212
"1/12/2026","SARI",5-04-20,"Adults",129
"1/12/2026","SARI",5-04-20,"Overall",287
"1/12/2026","SARI",5-04-20,"Pediatrics",158
"1/12/2026","SARI",5-06-20,"Adults",102
"1/12/2026","SARI",5-06-20,"Overall",484
"1/12/2026","SARI",5-06-20,"Pediatrics",382
"1/12/2026","SARI",5-07-20,"Adults",312
"1/12/2026","SARI",5-07-20,"Overall",613
"1/12/2026","SARI",5-07-20,"Pediatrics",301
"1/12/2026","SARI",5-10-20,"Adults",202
"1/12/2026","SARI",5-10-20,"Overall",408
"1/12/2026","SARI",5-10-20,"Pediatrics",206
"1/12/2026","SARI",5-11-20,"Adults",151
"1/12/2026","SARI",5-11-20,"Overall",338
"1/12/2026","SARI",5-11-20,"Pediatrics",187
"1/12/2026","SARI",6-01-20,"Adults",524
"1/12/2026","SARI",6-01-20,"Overall",1053
"1/12/2026","SARI",6-01-20,"Pediatrics",529
"1/12/2026","SARI",6-03-20,"Adults",182
"1/12/2026","SARI",6-03-20,"Overall",706
"1/12/2026","SARI",6-03-20,"Pediatrics",524
"1/12/2026","SARI",6-04-20,"Adults",457
"1/12/2026","SARI",6-04-20,"Overall",925
"1/12/2026","SARI",6-04-20,"Pediatrics",468
"1/12/2026","SARI",6-07-20,"Adults",515
"1/12/2026","SARI",6-07-20,"Overall",1046
"1/12/2026","SARI",6-07-20,"Pediatrics",531
"1/12/2026","SARI",6-08-20,"Adults",553
"1/12/2026","SARI",6-08-20,"Overall",1270
"1/12/2026","SARI",6-08-20,"Pediatrics",717
"1/12/2026","SARI",6-10-20,"Adults",190
"1/12/2026","SARI",6-10-20,"Overall",742
"1/12/2026","SARI",6-10-20,"Pediatrics",552
"1/12/2026","SARI",6-11-20,"Adults",482
"1/12/2026","SARI",6-11-20,"Overall",1042
"1/12/2026","SARI",6-11-20,"Pediatrics",560
"1/12/2026","SARI",7-01-20,"Adults",257
"1/12/2026","SARI",7-01-20,"Overall",675
"1/12/2026","SARI",7-01-20,"Pediatrics",418
"1/12/2026","SARI",7-02-20,"Adults",483
"1/12/2026","SARI",7-02-20,"Overall",871
"1/12/2026","SARI",7-02-20,"Pediatrics",388
"1/12/2026","SARI",7-05-20,"Adults",414
"1/12/2026","SARI",7-05-20,"Overall",960
"1/12/2026","SARI",7-05-20,"Pediatrics",546
"1/12/2026","SARI",7-06-20,"Adults",317
"1/12/2026","SARI",7-06-20,"Overall",891
"1/12/2026","SARI",7-06-20,"Pediatrics",574
"1/12/2026","SARI",7-08-20,"Adults",229
"1/12/2026","SARI",7-08-20,"Overall",582
"1/12/2026","SARI",7-08-20,"Pediatrics",353
"1/12/2026","SARI",7-09-20,"Adults",440
"1/12/2026","SARI",7-09-20,"Overall",868
"1/12/2026","SARI",7-09-20,"Pediatrics",428
